       0          72.64160016          23.16879686        -160.48438434        -137.31558748
     100          65.19396559          20.79339858        -158.25420247        -137.46080389
     200          59.82312632          19.08038725        -156.53382158        -137.45343433
     300          56.90942116          18.15107068        -155.63194715        -137.48087648
     400          60.39521480          19.26285297        -156.61873353        -137.35588056
     500          61.61792527          19.65283241        -157.11850018        -137.46566777
     600          58.12253574          18.53798954        -155.92833805        -137.39034851
     700          60.82176208          19.39889880        -156.83317580        -137.43427700
     800          58.01617291          18.50406546        -155.93847898        -137.43441352
     900          55.04426589          17.55618560        -154.91855072        -137.36236511
    1000          57.75978546          18.42229154        -155.91851976        -137.49622822
    1100          59.91093691          19.10839414        -156.57776643        -137.46937229
    1200          61.39032819          19.58024108        -156.99059310        -137.41035202
    1300          56.37208671          17.97968964        -155.35410382        -137.37441418
    1400          55.81817141          17.80302020        -155.24413526        -137.44111507
    1500          58.44544830          18.64098142        -156.07122778        -137.43024636
    1600          58.26441836          18.58324253        -155.98575590        -137.40251337
    1700          64.15656418          20.46252285        -157.90090690        -137.43838405
    1800          59.48441532          18.97235650        -156.32349513        -137.35113863
    1900          58.90360154          18.78710788        -156.15110317        -137.36399529
    2000          56.93409374          18.15893991        -155.49849028        -137.33955037
    2100          59.49976371          18.97725182        -156.40306785        -137.42581603
    2200          59.82564605          19.08119091        -156.54312511        -137.46193420
    2300          57.73445497          18.41421247        -155.93391696        -137.51970450
    2400          57.61597657          18.37642417        -155.84583985        -137.46941568
    2500          60.14957058          19.18450556        -156.59171896        -137.40721340
    2600          53.98888174          17.21957434        -154.62660047        -137.40702613
    2700          66.37626402          21.17048873        -158.63958495        -137.46909622
    2800          53.37389908          17.02342766        -154.52451878        -137.50109112
    2900          58.25535174          18.58035076        -155.97143753        -137.39108677
    3000          56.67570063          18.07652629        -155.48215997        -137.40563368
    3100          56.12817196          17.90189384        -155.40164153        -137.49974769
    3200          57.09753694          18.21106958        -155.73497558        -137.52390600
    3300          53.77129806          17.15017674        -154.59923879        -137.44906205
    3400          54.97178985          17.53306961        -155.03315468        -137.50008507
    3500          54.48947378          17.37923650        -154.87494598        -137.49570948
    3600          52.23150484          16.65906482        -154.19325966        -137.53419485
    3700          48.47407656          15.46064556        -152.98279885        -137.52215330
    3800          47.71070452          15.21717059        -152.75529466        -137.53812407
    3900          52.46222139          16.73265109        -154.17353343        -137.44088233
    4000          50.85906674          16.22133025        -153.63814395        -137.41681371
    4100          54.92834163          17.51921195        -154.98308109        -137.46386914
    4200          51.14528319          16.31261803        -153.67441144        -137.36179341
    4300          53.52105696          17.07036318        -154.42919672        -137.35883354
    4400          53.07934030          16.92947912        -154.35748512        -137.42800600
    4500          53.74492942          17.14176655        -154.58156844        -137.43980188
    4600          48.49167371          15.46625811        -152.94106530        -137.47480719
    4700          51.46119779          16.41337795        -153.77863354        -137.36525560
    4800          52.19500513          16.64742336        -153.91113587        -137.26371252
    4900          56.94607132          18.16276012        -155.57166582        -137.40890570
    5000          56.50761898          18.02291720        -155.54506646        -137.52214925
    5100          52.72770843          16.81732730        -154.31181735        -137.49449005
    5200          51.08878681          16.29459870        -153.72240553        -137.42780683
    5300          59.93961586          19.11754120        -156.58893095        -137.47138975
    5400          51.22492478          16.33801945        -153.76947150        -137.43145204
    5500          52.88629398          16.86790764        -154.32346819        -137.45556055
    5600          53.69872200          17.12702885        -154.61389866        -137.48686980
    5700          53.63898482          17.10797588        -154.58612906        -137.47815318
    5800          57.16627231          18.23299249        -155.70397104        -137.47097855
    5900          55.32424246          17.64548320        -155.01796747        -137.37248427
    6000          53.73459832          17.13847148        -154.51492903        -137.37645755
    6100          54.45269853          17.36750716        -154.84949882        -137.48199166
    6200          52.52908965          16.75397850        -154.24820268        -137.49422418
    6300          55.74007898          17.77811287        -155.19371088        -137.41559800
    6400          51.95904245          16.57216384        -153.93719356        -137.36502971
    6500          53.70564373          17.12923651        -154.56467754        -137.43544103
    6600          56.13190919          17.90308582        -155.31851334        -137.41542752
    6700          51.89105962          16.55048095        -153.91527577        -137.36479483
    6800          56.10641967          17.89495602        -155.39329310        -137.49833708
    6900          54.55723366          17.40084829        -154.72290968        -137.32206139
    7000          54.53593497          17.39405515        -154.84167792        -137.44762278
    7100          48.97262869          15.61965710        -153.16142382        -137.54176671
    7200          50.71926858          16.17674209        -153.57331320        -137.39657111
    7300          54.97513306          17.53413592        -154.98942278        -137.45528686
    7400          54.36479460          17.33947049        -154.78806156        -137.44859107
    7500          55.32076741          17.64437484        -155.02544723        -137.38107239
    7600          54.65010615          17.43046967        -154.92889387        -137.49842421
    7700          51.64787007          16.47291645        -153.97476915        -137.50185270
    7800          48.83478378          15.57569193        -153.06572366        -137.49003173
    7900          53.65556698          17.11326470        -154.60372147        -137.49045677
    8000          53.02688327          16.91274812        -154.39810519        -137.48535707
    8100          47.59292080          15.17960386        -152.67244857        -137.49284471
    8200          53.41059024          17.03513019        -154.49013435        -137.45500416
    8300          51.55474569          16.44321474        -153.87402234        -137.43080761
    8400          50.30365052          16.04418209        -153.44781815        -137.40363606
    8500          54.30186989          17.31940087        -154.78158010        -137.46217924
    8600          51.93790788          16.56542304        -154.01579490        -137.45037186
    8700          49.11911690          15.66637903        -153.13649419        -137.47011516
    8800          52.17734945          16.64179213        -154.08878661        -137.44699448
    8900          54.01406683          17.22760704        -154.63591176        -137.40830472
    9000          53.71411898          17.13193967        -154.50854379        -137.37660412
    9100          51.61227407          16.46156322        -153.85343355        -137.39187032
    9200          54.52050865          17.38913497        -154.83257508        -137.44344010
