LJMD version 1.0
Startup time:      0.362s
Starting simulation with 2916 atoms for 1000 steps.
     NFI            TEMP            EKIN                 EPOT              ETOT
       0          71.99367329         625.55744010       -4527.08079059       -3901.52335049
      10          68.60830230         596.14174407       -4497.58079022       -3901.43904615
      20          64.89173663         563.84827717       -4465.41237132       -3901.56409415
      30          64.77953003         562.87330714       -4464.45884194       -3901.58553480
      40          65.07687003         565.45691260       -4467.29673078       -3901.83981818
      50          61.95477144         538.32880663       -4440.15998060       -3901.83117396
      60          61.17559738         531.55851543       -4433.35990407       -3901.80138863
      70          66.08898171         574.25121304       -4476.05680362       -3901.80559057
      80          68.51476531         595.32899545       -4497.18783244       -3901.85883699
      90          66.90888367         581.37539147       -4483.37711146       -3902.00171999
     100          64.68928686         562.08917874       -4464.30521481       -3902.21603607
     110          63.11426656         548.40373081       -4450.24254165       -3901.83881084
     120          61.89641756         537.82176614       -4439.77485409       -3901.95308795
     130          58.55936993         508.82595480       -4410.97100587       -3902.14505107
     140          55.58852789         483.01212622       -4385.21761508       -3902.20548886
     150          57.82444156         502.44011712       -4404.77139596       -3902.33127884
     160          60.49427571         525.63846971       -4428.10427066       -3902.46580094
     170          59.00831664         512.72688028       -4415.25886111       -3902.53198084
     180          58.15325274         505.29717763       -4407.88234786       -3902.58517023
     190          58.83654531         511.23434867       -4413.94815702       -3902.71380835
     200          59.26233487         514.93406022       -4417.65526119       -3902.72120097
     210          57.92442493         503.30887876       -4406.11666239       -3902.80778363
     220          54.62170442         474.61133774       -4377.16142114       -3902.55008339
     230          54.11382632         470.19835384       -4372.47907328       -3902.28071944
     240          58.39588140         507.40539289       -4409.46098322       -3902.05559033
     250          62.82054229         545.85154259       -4447.81352381       -3901.96198122
     260          64.22534500         558.05795943       -4460.17923030       -3902.12127087
     270          62.38741730         542.08809303       -4444.17187905       -3902.08378603
     280          58.13946216         505.17735040       -4407.57637240       -3902.39902200
     290          55.29755149         480.48381437       -4382.68036577       -3902.19655139
     300          56.62732461         492.03829454       -4394.45761140       -3902.41931686
     310          58.49374839         508.25576518       -4410.76096637       -3902.50520119
     320          57.71506890         501.48977132       -4404.10198481       -3902.61221350
     330          57.46640705         499.32913332       -4401.83021399       -3902.50108067
     340          57.23594658         497.32664814       -4399.80696012       -3902.48031198
     350          56.21427078         488.44924453       -4390.69320909       -3902.24396456
     360          56.80424693         493.57558340       -4395.85697645       -3902.28139305
     370          56.18467365         488.19207326       -4390.35637764       -3902.16430438
     380          54.09907247         470.07015670       -4372.09164774       -3902.02149104
     390          55.45982331         481.89380416       -4383.87946509       -3901.98566093
     400          59.05230992         513.10914055       -4415.00195546       -3901.89281492
     410          60.52607348         525.91476243       -4427.97978627       -3902.06502384
     420       
